name,returns,return_type,description
lt,,bool,Output: less than (<)
le,,bool,Output: less than or equal to (<=)
eq,,bool,Output: equal to (==)
ne,,bool,Output: not equal to (!=)
ge,,bool,Output: greater than or equal to (>=)
gt,,bool,Output: greater than (>)
add,,,Output: addition (+)
sub,,,Output: subtraction (-)
mul,,,Output: multiplication (*)
truediv,,,Output: true division (/)
floordiv,,int,Output: floor division (//)
mod,,,Output: modular division (modulo) (%)
pow,,,Output: exponentiation (**)
concat,,,Output: concatenation (+) 
contains,,,Output: containment (in) 
and_,,,Output: bitwise and (&)
or_,,,Output: bitwise or (|)
xor,,,Output: bitwise xor (^)
invert,,,Output: bitwise not (~)
neg,,,Output: arithmatic negation (-)
not_,,,Output: logical negation (not)
pos,,,Output: positive (+)
iadd,,,Output: addition (+)
isub,,,Output: subtraction (-)
imul,,,Output: multiplication (*)
itruediv,,,Output: true division (/)
ifloordiv,,int,Output: floor division (//)
imod,,,Output: modular division (modulo) (%)
ipow,,,Output: exponentiation (**)
iconcat,,,Output: concatenation (+) 
iand,,,Output: bitwise and (&)
ior,,,Output: bitwise or (|)
ixor,,,Output: bitwise xor (^)



