method_name,parameter,type
add,a,
add,b,
sub,a,
sub,b,
mul,a,
mul,b,
truediv,a,
truediv,b,
floordiv,a,
floordiv,b,
print,string,
abs,number,
len,collection,
min,collection,
max,collection,
sum,collection,
range,start,int
range,stop,int
all,collection,
any,collection,
list,collection,list
sorted,list,list
reversed,list,list
tuple,collection,tuple
str,value,str
ord,string,int
chr,number,str
set,collection,set
dict,collection_of_tuples,dict
open,filename,file
close,file,None
write,file,
read,file,str
readline,file,str
randint,low,int
randint,high,int
choice,collection,
